sip, dip, sport, dport, proto, n_packets, length_max, length_min, length_sum, length_ave, length_std, interval_max, interval_min, interval_sum, interval_ave, interval_std,n_dir_change, freq_dir_change, go_n_packets, go_length_max, go_length_min, go_length_sum, go_length_ave, go_length_std, go_length_first, back_n_packets, back_length_max, back_length_min, back_length_sum, back_length_ave, back_length_std, back_length_first
147.32.84.170,147.32.80.9,49727,53,17,2,312,60,372,186.0,126.0,0.000392913818359375,0.000392913818359375,0.000392913818359375,0.000392913818359375,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312
147.32.84.170,89.167.251.252,51800,80,6,10,378,52,1086,108.6,111.59946236429637,0.03640890121459961,0.00011515617370605469,0.10875105857849121,0.01208345095316569,0.016510540914694845,6,0.6666666666666666,6,276,52,544,90.66666666666667,82.93504821378126,60,4,378,52,542,135.5,140.04552831133168,60
147.32.84.170,209.85.148.104,44207,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.008727073669433594,8.821487426757812e-06,0.01779794692993164,0.003559589385986328,0.004171491062719819,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60
147.32.84.164,147.32.80.9,57703,53,17,2,200,63,263,131.5,68.5,0.00040793418884277344,0.00040793418884277344,0.00040793418884277344,0.00040793418884277344,0.0,1,1.0,1,63,63,63,63,0.0,63,1,200,200,200,200,0.0,200
147.32.84.164,147.32.80.9,41096,53,17,2,134,60,194,97.0,37.0,0.00031304359436035156,0.00031304359436035156,0.00031304359436035156,0.00031304359436035156,0.0,1,1.0,1,60,60,60,60,0.0,60,1,134,134,134,134,0.0,134
147.32.84.164,194.79.52.194,52341,80,6,7,1410,40,1976,282.2857142857143,471.3584363413941,0.006170988082885742,9.298324584960938e-05,0.009546995162963867,0.0015911658604939778,0.0021035372518213753,5,0.8333333333333334,4,1410,40,1550,387.5,590.3971121203084,60,3,338,40,426,142.0,138.631405773247,48
147.32.84.170,147.32.80.9,48785,53,17,2,312,60,372,186.0,126.0,0.0004398822784423828,0.0004398822784423828,0.0004398822784423828,0.0004398822784423828,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312
147.32.84.170,209.85.148.147,34651,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.009191036224365234,6.508827209472656e-05,0.018380165100097656,0.003676033020019531,0.0043536202204749125,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60
147.32.84.170,209.85.148.105,36537,443,6,27,434,52,2181,80.77777777777777,77.24532028655743,45.11134719848633,4.0531158447265625e-06,246.62220191955566,9.485469304598295,17.624111176000874,18,0.6923076923076923,15,434,52,1253,83.53333333333333,95.90333095825655,60,12,205,52,928,77.33333333333333,43.67175542867751,60
147.32.84.134,78.24.14.16,45326,80,6,10,680,52,1541,154.1,207.9415542886991,0.0009279251098632812,6.9141387939453125e-06,0.004683017730712891,0.0005203353034125434,0.0002940263633993757,5,0.5555555555555556,5,680,52,896,179.2,250.4191685953773,60,5,429,52,645,129.0,150.03199658739464,60
147.32.84.134,147.32.80.9,41021,53,17,2,136,62,198,99.0,37.0,0.00033092498779296875,0.00033092498779296875,0.00033092498779296875,0.00033092498779296875,0.0,1,1.0,1,62,62,62,62,0.0,62,1,136,136,136,136,0.0,136
147.32.84.164,147.32.80.9,46913,53,17,2,109,62,171,85.5,23.5,0.0007960796356201172,0.0007960796356201172,0.0007960796356201172,0.0007960796356201172,0.0,1,1.0,1,62,62,62,62,0.0,62,1,109,109,109,109,0.0,109
147.32.84.134,147.32.80.9,50824,53,17,2,126,67,193,96.5,29.5,0.0036699771881103516,0.0036699771881103516,0.0036699771881103516,0.0036699771881103516,0.0,1,1.0,1,67,67,67,67,0.0,67,1,126,126,126,126,0.0,126
147.32.84.164,147.32.80.9,56325,53,17,2,288,56,344,172.0,116.0,0.00033593177795410156,0.00033593177795410156,0.00033593177795410156,0.00033593177795410156,0.0,1,1.0,1,56,56,56,56,0.0,56,1,288,288,288,288,0.0,288
147.32.84.164,147.32.80.9,59919,53,17,2,341,70,411,205.5,135.5,0.16068410873413086,0.16068410873413086,0.16068410873413086,0.16068410873413086,0.0,1,1.0,1,70,70,70,70,0.0,70,1,341,341,341,341,0.0,341
147.32.84.170,147.32.80.9,55079,53,17,2,185,67,252,126.0,59.0,0.0005021095275878906,0.0005021095275878906,0.0005021095275878906,0.0005021095275878906,0.0,1,1.0,1,67,67,67,67,0.0,67,1,185,185,185,185,0.0,185
147.32.84.164,147.32.80.9,48081,53,17,2,117,62,179,89.5,27.5,0.00033211708068847656,0.00033211708068847656,0.00033211708068847656,0.00033211708068847656,0.0,1,1.0,1,62,62,62,62,0.0,62,1,117,117,117,117,0.0,117
147.32.84.170,147.32.80.9,33709,53,17,2,312,60,372,186.0,126.0,0.0003180503845214844,0.0003180503845214844,0.0003180503845214844,0.0003180503845214844,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312
147.32.84.164,147.32.80.9,39143,53,17,2,137,64,201,100.5,36.5,0.0003390312194824219,0.0003390312194824219,0.0003390312194824219,0.0003390312194824219,0.0,1,1.0,1,64,64,64,64,0.0,64,1,137,137,137,137,0.0,137
147.32.84.164,77.93.216.134,53081,80,6,110,1500,52,105874,962.4909090909091,689.2006139586584,14.99711298942566,2.86102294921875e-06,23.411839962005615,0.21478752258720749,1.6105330467452432,55,0.5045871559633027,36,484,52,2741,76.13888888888889,98.56643354097608,60,74,1500,52,103133,1393.6891891891892,365.0007377140149,60
147.32.84.164,147.32.80.9,50531,53,17,2,170,69,239,119.5,50.5,0.0001919269561767578,0.0001919269561767578,0.0001919269561767578,0.0001919269561767578,0.0,1,1.0,1,69,69,69,69,0.0,69,1,170,170,170,170,0.0,170
147.32.84.134,147.32.80.9,49578,53,17,2,115,60,175,87.5,27.5,0.00019288063049316406,0.00019288063049316406,0.00019288063049316406,0.00019288063049316406,0.0,1,1.0,1,60,60,60,60,0.0,60,1,115,115,115,115,0.0,115
147.32.84.170,209.132.182.33,40216,443,6,22,837,40,3284,149.27272727272728,218.20407083490815,0.2061769962310791,4.0531158447265625e-06,1.1900639533996582,0.05666971206665039,0.08793888278389603,12,0.5714285714285714,13,317,40,1271,97.76923076923077,97.82177974109844,60,9,837,40,2013,223.66666666666666,305.2856585778856,44
147.32.84.164,147.32.80.9,40548,53,17,2,132,61,193,96.5,35.5,0.000244140625,0.000244140625,0.000244140625,0.000244140625,0.0,1,1.0,1,61,61,61,61,0.0,61,1,132,132,132,132,0.0,132
147.32.84.170,64.12.73.133,37770,443,6,74,46,40,3176,42.91891891891892,2.9626355904961494,149.88228702545166,0.00010800361633300781,1620.2371020317078,22.1950287949549,30.53359026742729,73,1.0,37,46,42,1696,45.83783783783784,0.7171080627794443,46,37,40,40,1480,40.0,0.0,40
147.32.84.164,147.32.80.9,38684,53,17,2,125,57,182,91.0,34.0,0.00025200843811035156,0.00025200843811035156,0.00025200843811035156,0.00025200843811035156,0.0,1,1.0,1,57,57,57,57,0.0,57,1,125,125,125,125,0.0,125
147.32.84.170,147.32.80.9,36444,53,17,2,126,74,200,100.0,26.0,0.00028896331787109375,0.00028896331787109375,0.00028896331787109375,0.00028896331787109375,0.0,1,1.0,1,74,74,74,74,0.0,74,1,126,126,126,126,0.0,126
147.32.84.164,194.79.52.196,42267,80,6,6,64,40,320,53.333333333333336,7.5424723326564935,18.720918893814087,4.0531158447265625e-06,18.72926115989685,3.74585223197937,7.487533798135564,3,0.6,3,60,52,164,54.666666666666664,3.7712361663282468,60,3,64,40,156,52.0,9.797958971132712,64
147.32.84.134,74.125.232.205,57092,80,6,12,52,52,624,52.0,0.0,45.11269402503967,0.007767915725708008,151.95068287849426,13.813698443499478,19.58465963243747,9,0.8181818181818182,6,52,52,312,52.0,0.0,52,6,52,52,312,52.0,0.0,52
147.32.84.134,92.123.64.195,38828,443,6,17,1024,52,2818,165.76470588235293,244.1979740272862,29.779160022735596,4.76837158203125e-06,34.78412199020386,2.174007624387741,7.217546494050266,8,0.5,10,251,52,925,92.5,79.03575140403234,60,7,1024,52,1893,270.42857142857144,342.45535981991543,60
147.32.84.170,147.32.80.9,35262,53,17,2,185,67,252,126.0,59.0,0.00033783912658691406,0.00033783912658691406,0.00033783912658691406,0.00033783912658691406,0.0,1,1.0,1,67,67,67,67,0.0,67,1,185,185,185,185,0.0,185
147.32.84.134,160.68.205.252,58340,80,6,31,1500,40,17323,558.8064516129032,676.8547954708788,45.04603981971741,4.0531158447265625e-06,55.26052904129028,1.8420176347096762,8.223620846453386,10,0.3333333333333333,17,482,40,1142,67.17647058823529,103.81218068286346,60,14,1500,40,16181,1155.7857142857142,592.8512435162598,44
147.32.84.170,147.32.80.9,60246,53,17,2,197,65,262,131.0,66.0,0.1393270492553711,0.1393270492553711,0.1393270492553711,0.1393270492553711,0.0,1,1.0,1,65,65,65,65,0.0,65,1,197,197,197,197,0.0,197
147.32.84.170,89.167.251.252,56682,80,6,13,502,52,1905,146.53846153846155,147.44939960470163,0.40224504470825195,8.296966552734375e-05,0.9359629154205322,0.07799690961837769,0.14240720583720112,8,0.6666666666666666,7,290,52,843,120.42857142857143,105.70830098889672,60,6,502,52,1062,177.0,179.85086414397162,60
147.32.84.164,147.32.80.9,50932,53,17,2,204,66,270,135.0,69.0,0.0003039836883544922,0.0003039836883544922,0.0003039836883544922,0.0003039836883544922,0.0,1,1.0,1,66,66,66,66,0.0,66,1,204,204,204,204,0.0,204
147.32.84.164,147.32.80.9,39885,53,17,2,125,61,186,93.0,32.0,0.00019598007202148438,0.00019598007202148438,0.00019598007202148438,0.00019598007202148438,0.0,1,1.0,1,61,61,61,61,0.0,61,1,125,125,125,125,0.0,125
147.32.84.134,157.249.32.138,45033,80,6,89,1420,52,66037,741.9887640449438,666.5145209335851,43.88997006416321,3.814697265625e-06,52.110153913497925,0.5921608399261128,4.709535118322403,33,0.375,40,705,52,4215,105.375,170.902850693018,60,49,1420,52,61822,1261.6734693877552,426.77171586152696,60
147.32.84.134,147.32.80.9,37238,53,17,2,216,66,282,141.0,75.0,0.00027108192443847656,0.00027108192443847656,0.00027108192443847656,0.00027108192443847656,0.0,1,1.0,1,66,66,66,66,0.0,66,1,216,216,216,216,0.0,216
147.32.84.164,147.32.80.9,52429,53,17,2,157,59,216,108.0,49.0,0.00021696090698242188,0.00021696090698242188,0.00021696090698242188,0.00021696090698242188,0.0,1,1.0,1,59,59,59,59,0.0,59,1,157,157,157,157,0.0,157
147.32.84.134,147.32.80.9,58387,53,17,2,111,56,167,83.5,27.5,0.00023293495178222656,0.00023293495178222656,0.00023293495178222656,0.00023293495178222656,0.0,1,1.0,1,56,56,56,56,0.0,56,1,111,111,111,111,0.0,111
147.32.84.170,80.239.149.27,56656,80,6,8,64,52,452,56.5,4.663689526544408,17.106472969055176,7.104873657226562e-05,17.121325969696045,2.445903709956578,5.985153124654732,6,0.8571428571428571,5,64,52,280,56.0,5.059644256269398,60,3,60,52,172,57.333333333333336,3.7712361663282468,60
147.32.84.164,147.32.80.9,51108,53,17,2,116,64,180,90.0,26.0,0.00044989585876464844,0.00044989585876464844,0.00044989585876464844,0.00044989585876464844,0.0,1,1.0,1,64,64,64,64,0.0,64,1,116,116,116,116,0.0,116
147.32.84.170,89.167.251.252,38848,80,6,10,378,52,1091,109.1,112.35697575139694,0.5312819480895996,0.00010895729064941406,0.6380650997161865,0.07089612219068739,0.1635198676856162,6,0.6666666666666666,6,281,52,549,91.5,84.79730734718723,60,4,378,52,542,135.5,140.04552831133168,60
147.32.84.164,62.84.143.246,44595,80,6,12,980,52,2284,190.33333333333334,275.64600889949816,10.540122985839844,6.9141387939453125e-06,10.578728914260864,0.9617026285691694,3.028965661439719,5,0.45454545454545453,6,980,52,1715,285.8333333333333,353.85233109621055,60,6,301,52,569,94.83333333333333,92.24680060697077,60
147.32.84.164,147.32.80.9,47371,53,17,2,190,53,243,121.5,68.5,0.0005390644073486328,0.0005390644073486328,0.0005390644073486328,0.0005390644073486328,0.0,1,1.0,1,53,53,53,53,0.0,53,1,190,190,190,190,0.0,190
147.32.84.170,147.32.80.9,34472,53,17,2,312,60,372,186.0,126.0,0.00039505958557128906,0.00039505958557128906,0.00039505958557128906,0.00039505958557128906,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312
147.32.84.134,147.32.80.9,60784,53,17,2,107,62,169,84.5,22.5,0.00027298927307128906,0.00027298927307128906,0.00027298927307128906,0.00027298927307128906,0.0,1,1.0,1,62,62,62,62,0.0,62,1,107,107,107,107,0.0,107
147.32.84.164,74.125.232.202,59834,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,16.34351682662964,0.00014901161193847656,16.359469175338745,3.271893835067749,6.535812390035934,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60
147.32.84.170,92.243.65.226,58180,80,6,15,1500,52,7067,471.1333333333333,628.0898944860962,4.947779178619385,1.5020370483398438e-05,6.937244892120361,0.4955174922943115,1.2920142387632312,9,0.6428571428571429,7,451,52,771,110.14285714285714,139.18171941892427,60,8,1500,52,6296,787.0,713.3968040298471,60
147.32.84.164,194.79.54.61,32936,80,6,10,64,52,576,57.6,4.799999999999996,9.525434970855713,8.106231689453125e-05,19.80325198173523,2.2003613313039145,3.357241510625383,8,0.8888888888888888,6,64,52,344,57.333333333333336,5.49747416749021,60,4,60,52,232,58.0,3.4641016151377544,60
147.32.84.170,89.167.251.252,51995,80,6,10,378,52,1099,109.9,113.59969190099065,0.5075070858001709,2.002716064453125e-05,0.5986430644989014,0.06651589605543348,0.15647152385071,6,0.6666666666666666,6,289,52,557,92.83333333333333,87.77702179702588,60,4,378,52,542,135.5,140.04552831133168,60
147.32.84.170,74.125.232.223,52100,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,11.609248876571655,8.606910705566406e-05,11.625380039215088,2.3250760078430175,4.6420877593668015,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60
147.32.84.164,147.32.80.9,39142,53,17,2,133,59,192,96.0,37.0,0.0003440380096435547,0.0003440380096435547,0.0003440380096435547,0.0003440380096435547,0.0,1,1.0,1,59,59,59,59,0.0,59,1,133,133,133,133,0.0,133
147.32.84.164,82.199.80.141,47421,80,6,7,674,40,1383,197.57142857142858,246.86483122947908,0.016956090927124023,1.4066696166992188e-05,0.049300193786621094,0.00821669896443685,0.007796792322000794,5,0.8333333333333334,4,674,40,814,203.5,271.76598389055243,60,3,485,40,569,189.66666666666666,208.83858732417139,44
147.32.84.134,78.24.14.16,45299,80,6,70,1500,52,54951,785.0142857142857,717.7912249763584,0.001004934310913086,2.86102294921875e-06,0.013361930847167969,0.0001936511716980865,0.00023594116843568598,15,0.21739130434782608,31,587,52,2155,69.51612903225806,94.48975741308341,60,39,1500,52,52796,1353.7435897435898,432.7664567045971,60
147.32.84.164,66.150.117.25,58153,80,6,13,1500,52,3209,246.84615384615384,402.7692307692308,4.942460060119629,4.0531158447265625e-06,5.270951986312866,0.4392459988594055,1.3585634758094904,5,0.4166666666666667,7,1500,52,2280,325.7142857142857,504.82407523688437,60,6,590,52,929,154.83333333333334,196.05646862291712,64
147.32.84.170,147.32.80.9,58202,53,17,2,61,61,122,61.0,0.0,0.24918794631958008,0.24918794631958008,0.24918794631958008,0.24918794631958008,0.0,1,1.0,1,61,61,61,61,0.0,61,1,61,61,61,61,0.0,61
147.32.84.170,147.32.80.9,41584,53,17,2,122,71,193,96.5,25.5,0.00019311904907226562,0.00019311904907226562,0.00019311904907226562,0.00019311904907226562,0.0,1,1.0,1,71,71,71,71,0.0,71,1,122,122,122,122,0.0,122
147.32.84.170,147.32.80.9,53041,53,17,2,312,60,372,186.0,126.0,0.0003209114074707031,0.0003209114074707031,0.0003209114074707031,0.0003209114074707031,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312
147.32.84.170,147.32.80.9,53141,53,17,2,194,54,248,124.0,70.0,0.12354612350463867,0.12354612350463867,0.12354612350463867,0.12354612350463867,0.0,1,1.0,1,54,54,54,54,0.0,54,1,194,194,194,194,0.0,194
147.32.84.170,147.32.80.9,50668,53,17,2,312,60,372,186.0,126.0,0.00035309791564941406,0.00035309791564941406,0.00035309791564941406,0.00035309791564941406,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312
147.32.84.134,74.125.232.198,41625,80,6,26,1025,52,5201,200.03846153846155,307.18679869086304,45.15269494056702,0.0003352165222167969,246.48167896270752,9.8592671585083,18.01623063151935,20,0.8,15,1025,52,3631,242.06666666666666,378.99981823507807,60,11,382,52,1570,142.72727272727272,146.54139403352644,60
147.32.84.170,147.32.80.9,53576,53,17,2,312,60,372,186.0,126.0,0.010007858276367188,0.010007858276367188,0.010007858276367188,0.010007858276367188,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312
147.32.84.170,147.32.80.9,50148,53,17,2,159,63,222,111.0,48.0,0.31246113777160645,0.31246113777160645,0.31246113777160645,0.31246113777160645,0.0,1,1.0,1,63,63,63,63,0.0,63,1,159,159,159,159,0.0,159
147.32.84.134,147.32.80.9,46100,53,17,2,454,70,524,262.0,192.0,0.0024940967559814453,0.0024940967559814453,0.0024940967559814453,0.0024940967559814453,0.0,1,1.0,1,70,70,70,70,0.0,70,1,454,454,454,454,0.0,454
147.32.84.134,147.32.80.9,39883,53,17,2,117,65,182,91.0,26.0,0.00023984909057617188,0.00023984909057617188,0.00023984909057617188,0.00023984909057617188,0.0,1,1.0,1,65,65,65,65,0.0,65,1,117,117,117,117,0.0,117
147.32.84.170,147.32.80.9,33209,53,17,2,137,61,198,99.0,38.0,0.00017690658569335938,0.00017690658569335938,0.00017690658569335938,0.00017690658569335938,0.0,1,1.0,1,61,61,61,61,0.0,61,1,137,137,137,137,0.0,137
147.32.84.170,209.85.148.106,49669,443,6,16,873,52,2425,151.5625,223.11851356117896,0.19713592529296875,1.4066696166992188e-05,0.28513598442077637,0.01900906562805176,0.04906734953696612,9,0.6,8,550,52,1030,128.75,162.5513380443237,60,8,873,52,1395,174.375,268.51440254667904,60
147.32.84.164,147.32.80.9,51665,53,17,2,204,66,270,135.0,69.0,0.00021505355834960938,0.00021505355834960938,0.00021505355834960938,0.00021505355834960938,0.0,1,1.0,1,66,66,66,66,0.0,66,1,204,204,204,204,0.0,204
147.32.84.164,147.32.80.9,48699,53,17,2,133,55,188,94.0,39.0,0.0002040863037109375,0.0002040863037109375,0.0002040863037109375,0.0002040863037109375,0.0,1,1.0,1,55,55,55,55,0.0,55,1,133,133,133,133,0.0,133
147.32.84.164,147.32.80.9,42684,53,17,2,133,59,192,96.0,37.0,0.0004248619079589844,0.0004248619079589844,0.0004248619079589844,0.0004248619079589844,0.0,1,1.0,1,59,59,59,59,0.0,59,1,133,133,133,133,0.0,133
147.32.84.164,147.32.80.9,41520,53,17,2,127,67,194,97.0,30.0,0.2382049560546875,0.2382049560546875,0.2382049560546875,0.2382049560546875,0.0,1,1.0,1,67,67,67,67,0.0,67,1,127,127,127,127,0.0,127
147.32.84.164,147.32.80.9,60516,53,17,2,158,57,215,107.5,50.5,0.00032782554626464844,0.00032782554626464844,0.00032782554626464844,0.00032782554626464844,0.0,1,1.0,1,57,57,57,57,0.0,57,1,158,158,158,158,0.0,158
147.32.84.164,147.32.80.9,52392,53,17,2,128,58,186,93.0,35.0,0.00022792816162109375,0.00022792816162109375,0.00022792816162109375,0.00022792816162109375,0.0,1,1.0,1,58,58,58,58,0.0,58,1,128,128,128,128,0.0,128
147.32.84.170,147.32.80.9,55363,53,17,2,120,58,178,89.0,31.0,0.000202178955078125,0.000202178955078125,0.000202178955078125,0.000202178955078125,0.0,1,1.0,1,58,58,58,58,0.0,58,1,120,120,120,120,0.0,120
147.32.84.164,147.32.80.9,59142,53,17,2,227,64,291,145.5,81.5,0.005579948425292969,0.005579948425292969,0.005579948425292969,0.005579948425292969,0.0,1,1.0,1,64,64,64,64,0.0,64,1,227,227,227,227,0.0,227
147.32.84.170,147.32.80.9,56178,53,17,2,107,62,169,84.5,22.5,0.0002989768981933594,0.0002989768981933594,0.0002989768981933594,0.0002989768981933594,0.0,1,1.0,1,62,62,62,62,0.0,62,1,107,107,107,107,0.0,107
147.32.84.164,2.21.92.124,43406,80,6,10,728,52,1566,156.6,217.4875628627991,0.21741890907287598,6.818771362304688e-05,0.25801801681518555,0.028668668535020616,0.06697661291505862,5,0.5555555555555556,5,728,52,944,188.8,269.6178035664559,60,5,406,52,622,124.4,140.8340867829944,60
147.32.84.134,147.32.80.9,54355,53,17,2,524,66,590,295.0,229.0,0.04298090934753418,0.04298090934753418,0.04298090934753418,0.04298090934753418,0.0,1,1.0,1,66,66,66,66,0.0,66,1,524,524,524,524,0.0,524
147.32.84.134,92.123.68.154,51617,443,6,85,1500,40,55993,658.7411764705882,694.3472966063152,45.08122110366821,1.9073486328125e-06,91.67607402801514,1.0913818336668468,6.864177075531375,22,0.2619047619047619,39,751,40,2911,74.64102564102564,114.23782820860986,60,46,1500,52,53082,1153.9565217391305,587.633017560307,60
147.32.84.164,147.32.80.9,32880,53,17,2,220,61,281,140.5,79.5,0.0003669261932373047,0.0003669261932373047,0.0003669261932373047,0.0003669261932373047,0.0,1,1.0,1,61,61,61,61,0.0,61,1,220,220,220,220,0.0,220
147.32.84.134,147.32.80.9,58504,53,17,2,107,52,159,79.5,27.5,0.0004658699035644531,0.0004658699035644531,0.0004658699035644531,0.0004658699035644531,0.0,1,1.0,1,52,52,52,52,0.0,52,1,107,107,107,107,0.0,107
147.32.84.164,147.32.80.9,42426,53,17,2,108,61,169,84.5,23.5,0.0001819133758544922,0.0001819133758544922,0.0001819133758544922,0.0001819133758544922,0.0,1,1.0,1,61,61,61,61,0.0,61,1,108,108,108,108,0.0,108
147.32.84.170,147.32.80.9,40198,53,17,2,126,62,188,94.0,32.0,0.03545379638671875,0.03545379638671875,0.03545379638671875,0.03545379638671875,0.0,1,1.0,1,62,62,62,62,0.0,62,1,126,126,126,126,0.0,126
147.32.84.164,147.32.80.9,37537,53,17,2,209,58,267,133.5,75.5,0.0005857944488525391,0.0005857944488525391,0.0005857944488525391,0.0005857944488525391,0.0,1,1.0,1,58,58,58,58,0.0,58,1,209,209,209,209,0.0,209
147.32.84.170,147.32.80.9,35861,53,17,2,312,60,372,186.0,126.0,0.00030612945556640625,0.00030612945556640625,0.00030612945556640625,0.00030612945556640625,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312
147.32.84.134,147.32.80.9,50810,53,17,2,130,52,182,91.0,39.0,0.00028204917907714844,0.00028204917907714844,0.00028204917907714844,0.00028204917907714844,0.0,1,1.0,1,52,52,52,52,0.0,52,1,130,130,130,130,0.0,130
147.32.84.170,147.32.80.9,42736,53,17,2,149,67,216,108.0,41.0,0.0002238750457763672,0.0002238750457763672,0.0002238750457763672,0.0002238750457763672,0.0,1,1.0,1,67,67,67,67,0.0,67,1,149,149,149,149,0.0,149
109.92.111.145,147.32.84.164,22947,51413,6,4,48,40,176,44.0,4.0,0.5296781063079834,0.0001239776611328125,0.5299599170684814,0.1766533056894938,0.24962623082699853,3,1.0,2,48,48,96,48.0,0.0,48,2,40,40,80,40.0,0.0,40
147.32.84.164,147.32.80.9,47734,53,17,2,136,56,192,96.0,40.0,0.0002357959747314453,0.0002357959747314453,0.0002357959747314453,0.0002357959747314453,0.0,1,1.0,1,56,56,56,56,0.0,56,1,136,136,136,136,0.0,136
147.32.84.164,147.32.80.9,45230,53,17,2,61,61,122,61.0,0.0,0.24785399436950684,0.24785399436950684,0.24785399436950684,0.24785399436950684,0.0,1,1.0,1,61,61,61,61,0.0,61,1,61,61,61,61,0.0,61
147.32.84.134,147.32.80.9,50463,53,17,2,102,58,160,80.0,22.0,0.00028896331787109375,0.00028896331787109375,0.00028896331787109375,0.00028896331787109375,0.0,1,1.0,1,58,58,58,58,0.0,58,1,102,102,102,102,0.0,102
147.32.84.170,147.32.80.9,37597,53,17,2,117,60,177,88.5,28.5,0.00019621849060058594,0.00019621849060058594,0.00019621849060058594,0.00019621849060058594,0.0,1,1.0,1,60,60,60,60,0.0,60,1,117,117,117,117,0.0,117
147.32.84.134,147.32.80.9,60607,53,17,2,111,55,166,83.0,28.0,0.00019288063049316406,0.00019288063049316406,0.00019288063049316406,0.00019288063049316406,0.0,1,1.0,1,55,55,55,55,0.0,55,1,111,111,111,111,0.0,111
