sip, dip, sport, dport, proto, n_packets, length_max, length_min, length_sum, length_ave, length_std, interval_max, interval_min, interval_sum, interval_ave, interval_std,n_dir_change, freq_dir_change, go_n_packets, go_length_max, go_length_min, go_length_sum, go_length_ave, go_length_std, go_length_first, back_n_packets, back_length_max, back_length_min, back_length_sum, back_length_ave, back_length_std, back_length_first
147.32.84.170,74.125.232.227,39627,80,6,21,1375,40,2944,140.1904761904762,297.84121993144174,45.11240887641907,0.00010704994201660156,246.810231924057,12.34051159620285,19.207660732416382,15,0.75,11,1375,52,1903,173.0,380.11266272466685,60,10,577,40,1041,104.1,157.69873176408237,60,
147.32.84.170,147.32.80.9,42901,53,17,2,312,60,372,186.0,126.0,0.000370025634765625,0.000370025634765625,0.000370025634765625,0.000370025634765625,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,53278,53,17,2,312,60,372,186.0,126.0,0.0003008842468261719,0.0003008842468261719,0.0003008842468261719,0.0003008842468261719,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,209.85.148.106,49388,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.011490106582641602,7.605552673339844e-05,0.02138996124267578,0.004277992248535156,0.0051184982515106005,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
147.32.84.170,209.85.148.105,46629,443,6,16,881,52,2453,153.3125,226.99193783865982,0.2035691738128662,0.00012183189392089844,0.2919578552246094,0.019463857014973957,0.050622459620022216,9,0.6,8,570,52,1050,131.25,169.0353143576809,60,8,881,52,1403,175.375,271.11664348578825,60,
147.32.84.170,147.32.80.9,60747,53,17,2,312,60,372,186.0,126.0,0.0003299713134765625,0.0003299713134765625,0.0003299713134765625,0.0003299713134765625,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,195.24.233.55,50157,80,6,10,384,52,1079,107.9,111.1867348203013,0.11712217330932617,0.00010800361633300781,0.22458982467651367,0.024954424964057073,0.034904866679312814,5,0.5555555555555556,5,263,52,479,95.8,83.65739656479874,60,5,384,52,600,120.0,132.03635862897764,60,
147.32.84.170,209.85.148.106,52712,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.009113788604736328,1.2159347534179688e-05,0.01828598976135254,0.0036571979522705077,0.00437255567273455,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
147.32.84.170,147.32.80.9,57259,53,17,2,312,60,372,186.0,126.0,0.00037789344787597656,0.00037789344787597656,0.00037789344787597656,0.00037789344787597656,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,57684,53,17,2,312,60,372,186.0,126.0,0.0003681182861328125,0.0003681182861328125,0.0003681182861328125,0.0003681182861328125,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,195.24.233.55,47822,80,6,10,384,52,1079,107.9,111.1867348203013,0.08094000816345215,0.00010395050048828125,0.19163799285888672,0.02129311031765408,0.024827632890848442,5,0.5555555555555556,5,263,52,479,95.8,83.65739656479874,60,5,384,52,600,120.0,132.03635862897764,60,
147.32.84.170,147.32.80.9,41394,53,17,2,129,68,197,98.5,30.5,0.0002701282501220703,0.0002701282501220703,0.0002701282501220703,0.0002701282501220703,0.0,1,1.0,1,68,68,68,68,0.0,68,1,129,129,129,129,0.0,129,
147.32.84.170,147.32.80.9,43017,53,17,2,312,60,372,186.0,126.0,0.0005359649658203125,0.0005359649658203125,0.0005359649658203125,0.0005359649658203125,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,42552,53,17,2,61,61,122,61.0,0.0,0.2333061695098877,0.2333061695098877,0.2333061695098877,0.2333061695098877,0.0,1,1.0,1,61,61,61,61,0.0,61,1,61,61,61,61,0.0,61,
147.32.84.170,147.32.80.9,50029,53,17,2,185,67,252,126.0,59.0,0.000347137451171875,0.000347137451171875,0.000347137451171875,0.000347137451171875,0.0,1,1.0,1,67,67,67,67,0.0,67,1,185,185,185,185,0.0,185,
147.32.84.170,195.24.233.55,50523,80,6,10,384,52,1079,107.9,111.1867348203013,0.1154470443725586,4.0531158447265625e-06,0.2265300750732422,0.025170008341471355,0.034541277735167596,5,0.5555555555555556,5,263,52,479,95.8,83.65739656479874,60,5,384,52,600,120.0,132.03635862897764,60,
147.32.84.170,209.85.148.105,35740,443,6,16,881,52,2453,153.3125,226.99193783865982,0.15595293045043945,1.1920928955078125e-05,0.2442488670349121,0.016283257802327474,0.0391768450299641,9,0.6,8,570,52,1050,131.25,169.0353143576809,60,8,881,52,1403,175.375,271.11664348578825,60,
147.32.84.170,209.85.148.105,48312,80,6,7,60,52,380,54.285714285714285,3.6140316116210345,0.009366035461425781,2.8848648071289062e-05,0.0186309814453125,0.00310516357421875,0.004230240516027506,4,0.6666666666666666,4,60,52,216,54.0,3.4641016151377544,60,3,60,52,164,54.666666666666664,3.7712361663282468,60,
147.32.84.170,209.85.148.99,40830,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.009086847305297852,6.198883056640625e-06,0.01796412467956543,0.003592824935913086,0.004380918643139798,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
147.32.84.170,147.32.80.9,60702,53,17,2,312,60,372,186.0,126.0,0.00036597251892089844,0.00036597251892089844,0.00036597251892089844,0.00036597251892089844,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,49810,53,17,2,312,60,372,186.0,126.0,0.0004210472106933594,0.0004210472106933594,0.0004210472106933594,0.0004210472106933594,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,91.189.89.59,46459,443,6,20,1500,52,7067,353.35,500.34960527615084,0.03272294998168945,4.0531158447265625e-06,0.1768789291381836,0.009309417323062294,0.012918167601456499,10,0.5263157894736842,10,409,52,1190,119.0,114.45348400114345,60,10,1500,52,5877,587.7,614.6218430872759,60,
147.32.84.170,147.32.80.9,56879,53,17,2,312,60,372,186.0,126.0,0.00046896934509277344,0.00046896934509277344,0.00046896934509277344,0.00046896934509277344,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,53671,53,17,2,312,60,372,186.0,126.0,0.0003371238708496094,0.0003371238708496094,0.0003371238708496094,0.0003371238708496094,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,209.85.148.105,33544,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.008790016174316406,7.700920104980469e-05,0.0178220272064209,0.00356440544128418,0.004248333442389617,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
147.32.84.170,209.85.148.99,43867,80,6,7,60,52,380,54.285714285714285,3.6140316116210345,0.008929967880249023,4.0531158447265625e-06,0.018023967742919922,0.003003994623819987,0.004054109782630421,4,0.6666666666666666,4,60,52,216,54.0,3.4641016151377544,60,3,60,52,164,54.666666666666664,3.7712361663282468,60,
147.32.84.170,147.32.80.9,57636,53,17,2,312,60,372,186.0,126.0,0.0003070831298828125,0.0003070831298828125,0.0003070831298828125,0.0003070831298828125,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,39604,53,17,2,312,60,372,186.0,126.0,0.0003800392150878906,0.0003800392150878906,0.0003800392150878906,0.0003800392150878906,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,209.85.148.103,33610,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.008820056915283203,4.887580871582031e-05,0.017669200897216797,0.0035338401794433594,0.004214141878388582,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
147.32.84.170,147.32.80.9,43591,53,17,2,141,60,201,100.5,40.5,0.0002620220184326172,0.0002620220184326172,0.0002620220184326172,0.0002620220184326172,0.0,1,1.0,1,60,60,60,60,0.0,60,1,141,141,141,141,0.0,141,
147.32.84.170,209.85.148.106,49403,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,19.44019317626953,6.890296936035156e-05,19.458422899246216,3.891684579849243,7.774255326768954,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
147.32.84.170,74.125.232.203,50567,443,6,37,1470,52,5366,145.02702702702703,256.3357686640061,45.113117933273315,6.9141387939453125e-06,240.18520307540894,6.671811196539137,15.609547042904644,21,0.5833333333333334,20,1470,52,3627,181.35,335.01571231809413,60,17,394,52,1739,102.29411764705883,87.12922431712455,60,
147.32.84.170,209.85.149.95,56740,80,6,81,1470,52,55955,690.8024691358024,699.0220403058902,45.09579682350159,2.86102294921875e-06,249.98771500587463,3.124846437573433,11.005243808029967,33,0.4125,35,481,52,2257,64.48571428571428,71.44403261237686,60,46,1470,52,53698,1167.3478260869565,575.2994009697418,60,
147.32.84.170,209.85.148.106,56815,443,6,16,873,52,2425,151.5625,223.11851356117896,0.16538691520690918,7.152557373046875e-06,0.2541370391845703,0.016942469278971355,0.041413915827231806,9,0.6,8,550,52,1030,128.75,162.5513380443237,60,8,873,52,1395,174.375,268.51440254667904,60,
147.32.84.170,209.85.148.104,35132,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.01040792465209961,7.796287536621094e-05,0.019672870635986328,0.0039345741271972655,0.004715946292897484,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
147.32.84.170,209.85.148.104,55829,80,6,7,60,52,380,54.285714285714285,3.6140316116210345,0.009073019027709961,1.3113021850585938e-05,0.0185239315032959,0.003087321917215983,0.004216231849728878,4,0.6666666666666666,4,60,52,216,54.0,3.4641016151377544,60,3,60,52,164,54.666666666666664,3.7712361663282468,60,
147.32.84.170,147.32.80.9,59723,53,17,2,244,68,312,156.0,88.0,0.030100107192993164,0.030100107192993164,0.030100107192993164,0.030100107192993164,0.0,1,1.0,1,68,68,68,68,0.0,68,1,244,244,244,244,0.0,244,
147.32.84.170,2.21.92.124,37519,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,10.37352991104126,0.0001418590545654297,10.387959957122803,2.0775919914245606,4.1479701177771835,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
147.32.84.170,195.24.233.55,52477,80,6,10,384,52,1079,107.9,111.1867348203013,0.14359617233276367,1.2159347534179688e-05,0.2544848918914795,0.02827609909905328,0.042836914023434494,5,0.5555555555555556,5,263,52,479,95.8,83.65739656479874,60,5,384,52,600,120.0,132.03635862897764,60,
147.32.84.170,147.32.80.9,47002,53,17,2,116,66,182,91.0,25.0,0.0002338886260986328,0.0002338886260986328,0.0002338886260986328,0.0002338886260986328,0.0,1,1.0,1,66,66,66,66,0.0,66,1,116,116,116,116,0.0,116,
147.32.84.170,74.125.232.205,50908,80,6,10,1399,52,2194,219.4,403.8601738225744,115.00108504295349,0.00011205673217773438,115.04257011413574,12.782507790459526,36.13972496757481,6,0.6666666666666666,6,1399,52,1667,277.8333333333333,501.4094855726427,60,4,363,52,527,131.75,133.5521901729807,60,
147.32.84.170,147.32.80.9,53944,53,17,2,312,60,372,186.0,126.0,0.0005028247833251953,0.0005028247833251953,0.0005028247833251953,0.0005028247833251953,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,195.24.233.55,50528,80,6,10,383,52,1078,107.8,110.93854154440648,0.1199958324432373,7.414817810058594e-05,0.23164105415344238,0.025737894905938044,0.0358834225210062,5,0.5555555555555556,5,263,52,479,95.8,83.65739656479874,60,5,383,52,599,119.8,131.63646911095725,60,
147.32.84.170,209.85.148.103,40346,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.00894308090209961,0.00010800361633300781,0.018278121948242188,0.0036556243896484373,0.004309922482422722,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
117.206.64.182,147.32.84.164,49941,51413,6,6,52,40,272,45.333333333333336,5.49747416749021,0.8738830089569092,0.00014591217041015625,1.7449150085449219,0.3489830017089844,0.42721312377069076,5,1.0,3,52,48,152,50.666666666666664,1.8856180831641536,52,3,40,40,120,40.0,0.0,40,
147.32.84.170,147.32.80.9,51158,53,17,2,312,60,372,186.0,126.0,0.0003528594970703125,0.0003528594970703125,0.0003528594970703125,0.0003528594970703125,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,57408,53,17,2,312,60,372,186.0,126.0,0.0003330707550048828,0.0003330707550048828,0.0003330707550048828,0.0003330707550048828,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,54582,53,17,2,312,60,372,186.0,126.0,0.0002949237823486328,0.0002949237823486328,0.0002949237823486328,0.0002949237823486328,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,49476,53,17,2,133,62,195,97.5,35.5,0.0002560615539550781,0.0002560615539550781,0.0002560615539550781,0.0002560615539550781,0.0,1,1.0,1,62,62,62,62,0.0,62,1,133,133,133,133,0.0,133,
147.32.84.170,147.32.80.9,51655,53,17,4,495,67,782,195.5,175.1820481670425,2542.6011171340942,0.0004420280456542969,2542.866683959961,847.6222279866537,1198.5310713552267,3,1.0,2,79,67,146,73.0,6.0,67,2,495,141,636,318.0,177.0,141,
147.32.84.170,147.32.80.9,43091,53,17,6,244,61,750,125.0,67.65106552499131,7497.7070162296295,0.00026917457580566406,8290.744678020477,1658.1489356040954,2935.8805969717164,5,1.0,3,68,61,195,65.0,2.9439202887760003,61,3,244,138,555,185.0,44.09837487557409,138,
147.32.84.170,147.32.80.9,59671,53,17,2,124,66,190,95.0,29.0,0.38921308517456055,0.38921308517456055,0.38921308517456055,0.38921308517456055,0.0,1,1.0,1,66,66,66,66,0.0,66,1,124,124,124,124,0.0,124,
147.32.84.170,147.32.80.9,55721,53,17,2,312,60,372,186.0,126.0,0.0003609657287597656,0.0003609657287597656,0.0003609657287597656,0.0003609657287597656,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,58783,53,17,2,312,60,372,186.0,126.0,0.00035881996154785156,0.00035881996154785156,0.00035881996154785156,0.00035881996154785156,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,209.85.148.103,43832,80,6,7,60,52,380,54.285714285714285,3.6140316116210345,0.009198904037475586,6.890296936035156e-05,0.018606901168823242,0.0031011501948038736,0.0042196664101386405,4,0.6666666666666666,4,60,52,216,54.0,3.4641016151377544,60,3,60,52,164,54.666666666666664,3.7712361663282468,60,
147.32.84.170,209.85.148.106,44242,80,6,7,60,52,380,54.285714285714285,3.6140316116210345,0.008927106857299805,4.0531158447265625e-06,0.017715930938720703,0.0029526551564534507,0.004088080413695992,4,0.6666666666666666,4,60,52,216,54.0,3.4641016151377544,60,3,60,52,164,54.666666666666664,3.7712361663282468,60,
147.32.84.170,147.32.80.9,55931,53,17,2,313,63,376,188.0,125.0,0.00044417381286621094,0.00044417381286621094,0.00044417381286621094,0.00044417381286621094,0.0,1,1.0,1,63,63,63,63,0.0,63,1,313,313,313,313,0.0,313,
147.32.84.170,147.32.80.9,33469,53,17,2,149,67,216,108.0,41.0,0.00019311904907226562,0.00019311904907226562,0.00019311904907226562,0.00019311904907226562,0.0,1,1.0,1,67,67,67,67,0.0,67,1,149,149,149,149,0.0,149,
147.32.84.170,147.32.80.9,38733,53,17,2,312,60,372,186.0,126.0,0.00032520294189453125,0.00032520294189453125,0.00032520294189453125,0.00032520294189453125,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,46640,53,17,2,264,60,324,162.0,102.0,0.00028586387634277344,0.00028586387634277344,0.00028586387634277344,0.00028586387634277344,0.0,1,1.0,1,60,60,60,60,0.0,60,1,264,264,264,264,0.0,264,
147.32.84.170,209.85.148.99,50256,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.010036945343017578,8.296966552734375e-05,0.019594907760620117,0.003918981552124024,0.004674401846909323,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
