sip, dip, sport, dport, proto, n_packets, length_max, length_min, length_sum, length_ave, length_std, interval_max, interval_min, interval_sum, interval_ave, interval_std,n_dir_change, freq_dir_change, go_n_packets, go_length_max, go_length_min, go_length_sum, go_length_ave, go_length_std, go_length_first, back_n_packets, back_length_max, back_length_min, back_length_sum, back_length_ave, back_length_std, back_length_first
147.32.84.165,212.117.171.138,1794,65500,6,135,1500,40,99347,735.9037037037037,689.5503620752688,2.5772249698638916,9.107589721679688e-05,6.0561089515686035,0.045194842922153755,0.25363210548524046,91,0.6791044776119403,77,1500,40,90525,1175.6493506493507,529.680662586204,48,58,1500,40,8822,152.10344827586206,369.73493252996394,48
147.32.84.165,117.204.76.152,2221,6667,6,6,48,40,264,44.0,4.0,0.4742109775543213,0.32597994804382324,1.869070053100586,0.3738140106201172,0.06084960167336372,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,209.85.148.147,1847,80,6,10,786,40,1907,190.7,297.41622349831556,0.13637089729309082,3.0994415283203125e-06,0.1693720817565918,0.018819120195176866,0.04173714177420137,5,0.5555555555555556,5,785,40,953,190.6,297.21615030142624,48,5,786,40,954,190.8,297.61612859520903,48
147.32.84.165,112.205.182.117,1067,3128,6,3,48,48,144,48.0,0.0,6.008881092071533,2.939042806625366,8.9479238986969,4.47396194934845,1.5349191427230835,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,212.117.171.138,1816,65500,6,125,1500,40,99004,792.032,690.4768084273359,0.8689179420471191,0.00013899803161621094,3.968463897705078,0.03200374111052482,0.0936024808630156,79,0.6370967741935484,78,1500,40,90556,1160.974358974359,549.6874164038999,48,47,1500,40,8448,179.74468085106383,407.09790071870793,48
147.32.84.165,46.4.36.120,2063,443,6,6,48,40,264,44.0,4.0,0.47303199768066406,0.02731013298034668,1.008188009262085,0.201637601852417,0.21354642694439613,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,46.4.36.120,2051,443,6,6,48,40,264,44.0,4.0,0.47301602363586426,0.0275118350982666,1.0089290142059326,0.20178580284118652,0.21335866072837636,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,212.117.171.138,1542,65500,6,48,1438,40,4450,92.70833333333333,207.08985150707463,29.97642493247986,0.00019121170043945312,33.88753795623779,0.7210114458773998,4.316836615669904,34,0.723404255319149,22,462,40,1785,81.13636363636364,93.95806388275058,48,26,1438,40,2665,102.5,267.3862446838914,48
147.32.84.165,212.117.171.138,1550,65500,6,42,1500,40,18516,440.85714285714283,623.7064164152482,2.50675892829895,1.0013580322265625e-05,4.144099950790405,0.10107560855586355,0.3914059618772077,24,0.5853658536585366,21,1500,40,15667,746.047619047619,698.0868056399697,48,21,1500,40,2849,135.66666666666666,323.12806444465025,48
147.32.84.165,212.117.171.138,1842,65500,6,17,786,40,2225,130.88235294117646,239.09360272715767,0.7983300685882568,0.00014400482177734375,1.3580889701843262,0.08488056063652039,0.1912092650372588,12,0.75,8,786,40,1086,135.75,245.79958807939448,48,9,785,40,1139,126.55555555555556,232.8853371230434,48
147.32.84.165,212.117.171.138,1387,65500,6,140,1500,40,102034,728.8142857142857,695.1122580018927,2.5198731422424316,0.0001659393310546875,5.050257205963135,0.03633278565441104,0.21774537520747075,103,0.7410071942446043,80,1500,40,91879,1148.4875,560.4783446697562,48,60,1500,40,10155,169.25,400.78442355793555,48
147.32.84.165,109.201.233.98,2178,6667,6,2,48,48,96,48.0,0.0,2.9345009326934814,2.9345009326934814,2.9345009326934814,2.9345009326934814,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,212.117.171.138,1616,65500,6,63,1500,40,34003,539.7301587301587,652.8543970087248,0.3802051544189453,5.0067901611328125e-06,2.1134839057922363,0.034088450093423164,0.07150004177065848,42,0.6774193548387096,32,1500,40,31457,983.03125,626.0147005250257,48,31,1299,40,2546,82.12903225806451,222.25366819941516,48
147.32.84.165,64.4.56.103,1446,80,6,143,1500,40,118610,829.4405594405595,711.5220229368606,5.836389064788818,2.86102294921875e-06,7.767629861831665,0.05470161874529342,0.4888722117487584,16,0.11267605633802817,60,1500,40,7747,129.11666666666667,314.77796892765895,48,83,1488,40,110863,1335.698795180723,435.62288142133366,48
147.32.84.165,133.6.157.199,1509,6667,6,2,48,48,96,48.0,0.0,2.923748016357422,2.923748016357422,2.923748016357422,2.923748016357422,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,64.4.56.103,1551,80,6,116,1500,40,98869,852.3189655172414,702.8542130575323,6.272402048110962,2.86102294921875e-06,7.763142824172974,0.06750558977541717,0.5827009359291833,12,0.10434782608695652,46,1500,40,7310,158.91304347826087,384.37837031888006,48,70,1488,40,91559,1307.9857142857143,444.9161234870854,48
147.32.84.165,209.85.148.105,1571,80,6,10,801,40,1887,188.7,293.6378892445592,0.1625959873199463,8.58306884765625e-05,0.20450305938720703,0.022722562154134113,0.04969378927666068,5,0.5555555555555556,5,750,40,918,183.6,283.21694864538034,48,5,801,40,969,193.8,303.6158098650332,48
147.32.84.165,94.63.150.52,1041,80,6,10,216,40,756,75.6,68.26888017244754,0.13546299934387207,4.0531158447265625e-06,0.40795207023620605,0.04532800780402289,0.06294798100888924,5,0.5555555555555556,5,208,40,376,75.2,66.47224984909116,48,5,216,40,380,76.0,70.01714075853141,44
147.32.84.165,64.12.175.136,1492,587,6,38,1064,40,3905,102.76315789473684,175.5296397538973,29.83121609687805,7.486343383789062e-05,32.99875497817993,0.8918582426535117,4.823501557657926,31,0.8378378378378378,19,1064,40,2224,117.05263157894737,226.640794786587,48,19,462,40,1681,88.47368421052632,99.23145109503636,48
147.32.84.165,46.4.36.120,1918,443,6,6,48,40,264,44.0,4.0,0.47324705123901367,0.027302026748657227,1.0084710121154785,0.20169420242309571,0.2135569385511062,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,212.117.171.138,1754,65500,6,56,1500,40,27455,490.26785714285717,604.5799158764063,2.525963068008423,0.0001239776611328125,6.249023914337158,0.11361861662431197,0.3455065805479187,35,0.6363636363636364,32,1500,40,22409,700.28125,634.4066733164442,48,24,1500,40,5046,210.25,423.1147647703477,48
147.32.84.165,64.4.56.23,1917,80,6,19,1488,40,11116,585.0526315789474,657.8557251591368,0.2663459777832031,4.0531158447265625e-06,0.9815950393676758,0.054533057742648654,0.08976013784752285,7,0.3888888888888889,9,1384,40,2736,304.0,497.51739221413715,48,10,1488,40,8380,838.0,681.4879309276138,48
147.32.84.165,65.55.40.23,1336,443,6,23,1500,40,10570,459.5652173913044,587.5676335602238,0.263167142868042,6.9141387939453125e-06,1.4526159763336182,0.06602799892425537,0.08523993808175934,14,0.6363636363636364,11,1341,40,3100,281.8181818181818,442.4980366020783,48,12,1500,40,7470,622.5,653.2269258585922,48
147.32.84.165,46.4.36.120,1872,443,6,6,48,40,264,44.0,4.0,0.49566197395324707,0.0274050235748291,1.0440890789031982,0.20881781578063965,0.22233008391886885,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,46.4.36.120,2155,443,6,6,48,40,264,44.0,4.0,0.47342395782470703,0.027276039123535156,1.0090339183807373,0.20180678367614746,0.2138096310350264,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,46.4.36.120,2023,443,6,6,48,40,264,44.0,4.0,0.47255611419677734,0.0277249813079834,1.0092320442199707,0.20184640884399413,0.2132305105799404,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,202.12.27.33,1611,53,17,2,537,49,586,293.0,244.0,0.022719144821166992,0.022719144821166992,0.022719144821166992,0.022719144821166992,0.0,1,1.0,1,49,49,49,49,0.0,49,1,537,537,537,537,0.0,537
147.32.84.165,46.4.36.120,2228,443,6,6,48,40,264,44.0,4.0,0.4730658531188965,0.027289867401123047,1.0085539817810059,0.20171079635620118,0.21356034721383588,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,46.4.36.120,1638,443,6,6,48,40,264,44.0,4.0,0.47812390327453613,0.027401208877563477,1.0129311084747314,0.20258622169494628,0.21466249573236895,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,91.220.0.52,2173,80,6,11,306,40,896,81.45454545454545,85.06720726617347,2.963088035583496,0.00011396408081054688,3.3322131633758545,0.33322131633758545,0.8783188504462277,5,0.5,6,306,40,522,87.0,98.00510190801293,48,5,206,40,374,74.8,65.67312996956974,48
147.32.84.165,212.117.171.138,1934,65500,6,40,1500,40,18480,462.0,645.418740044012,2.872685194015503,7.867813110351562e-06,4.472511053085327,0.11467977059193146,0.4571494786303453,28,0.717948717948718,19,1500,40,15593,820.6842105263158,717.5120796805686,48,21,1500,40,2887,137.47619047619048,325.4961954349549,48
147.32.84.165,46.4.36.120,1695,443,6,6,48,40,264,44.0,4.0,0.4736359119415283,0.027312040328979492,0.9984390735626221,0.19968781471252442,0.2112531726095817,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,196.46.196.3,1864,6667,6,2,48,48,96,48.0,0.0,2.9674718379974365,2.9674718379974365,2.9674718379974365,2.9674718379974365,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,46.4.36.120,2192,443,6,6,48,40,264,44.0,4.0,0.4728679656982422,0.02729010581970215,1.0087840557098389,0.20175681114196778,0.21352997069785346,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,95.59.1.63,1568,6667,6,2,48,48,96,48.0,0.0,3.0037050247192383,3.0037050247192383,3.0037050247192383,3.0037050247192383,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,46.4.36.120,2166,443,6,6,48,40,264,44.0,4.0,0.47332000732421875,0.02744293212890625,1.0081849098205566,0.20163698196411134,0.21340108797457855,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,65.55.72.7,1743,443,6,177,1500,40,150267,848.9661016949152,701.5512826876845,1.2906429767608643,2.86102294921875e-06,3.3319618701934814,0.018931601535190235,0.10523972718800548,20,0.11363636363636363,68,1500,40,5993,88.13235294117646,220.07244157668285,48,109,1500,40,144274,1323.6146788990825,427.29889648873825,48
147.32.84.165,61.17.216.26,1947,6667,6,2,48,48,96,48.0,0.0,2.922299861907959,2.922299861907959,2.922299861907959,2.922299861907959,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,46.4.36.120,2112,443,6,6,48,40,264,44.0,4.0,0.47313809394836426,0.02730703353881836,1.0091960430145264,0.20183920860290527,0.21365993848735626,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,212.117.171.138,1692,65500,6,30,1500,40,8526,284.2,479.69451390094787,1.6207389831542969,0.00011706352233886719,2.9991462230682373,0.10341883527821508,0.29154693919212565,19,0.6551724137931034,16,1500,40,5052,315.75,517.064369783879,48,14,1488,40,3474,248.14285714285714,430.23147542803,48
147.32.84.165,94.245.116.9,1439,80,6,12,1064,40,2533,211.08333333333334,336.80544788085336,0.19111084938049316,8.106231689453125e-06,0.6388351917266846,0.05807592652060769,0.06697439172150668,7,0.6363636363636364,6,1064,40,1504,250.66666666666666,373.3142852283523,48,6,821,40,1029,171.5,290.47991898465773,48
147.32.84.165,212.117.171.138,1853,65500,6,39,1500,40,13114,336.2564102564103,556.1279007081807,0.5448019504547119,0.0002949237823486328,5.0369579792022705,0.1325515257684808,0.17443988430453491,24,0.631578947368421,20,1500,40,10503,525.15,660.4223099653736,48,19,1434,40,2611,137.42105263157896,314.0489931254397,48
147.32.84.165,64.4.2.109,1512,80,6,119,1500,40,100992,848.6722689075631,704.2515677963319,5.570137023925781,2.86102294921875e-06,7.353730916976929,0.06231975353370279,0.5112814672564652,14,0.11864406779661017,46,1500,40,7280,158.2608695652174,384.5065971494088,48,73,1492,40,93712,1283.7260273972602,475.0777084315811,48
147.32.84.165,46.4.36.120,2183,443,6,6,48,40,264,44.0,4.0,0.47376084327697754,0.027333974838256836,1.0088558197021484,0.20177116394042968,0.21363901465481422,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,212.117.171.138,1670,65500,6,14,70,40,623,44.5,7.862660400362505,20.930105924606323,0.00015115737915039062,21.966552019119263,1.6897347707014818,5.555888888561707,10,0.7692307692307693,8,50,40,340,42.5,3.840572873934304,48,6,70,40,283,47.166666666666664,10.589565094416727,48
147.32.84.165,190.77.235.75,2232,6667,6,2,48,48,96,48.0,0.0,2.933349132537842,2.933349132537842,2.933349132537842,2.933349132537842,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,64.4.2.109,1472,80,6,47,1499,40,35512,755.5744680851063,704.8325210660876,0.26525306701660156,2.86102294921875e-06,1.4914889335632324,0.03242367246876592,0.07171402024623194,13,0.2826086956521739,20,1064,40,2714,135.7,286.652594615852,48,27,1499,40,32798,1214.7407407407406,555.3873251459605,48
147.32.84.165,119.154.117.193,1089,3128,6,3,48,48,144,48.0,0.0,6.008875131607056,3.00413179397583,9.013006925582886,4.506503462791443,1.5023716688156128,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,111.92.129.242,2100,6667,6,2,48,48,96,48.0,0.0,2.9535889625549316,2.9535889625549316,2.9535889625549316,2.9535889625549316,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,188.230.64.18,1080,3128,6,3,48,48,144,48.0,0.0,6.008630037307739,3.0037930011749268,9.012423038482666,4.506211519241333,1.5024185180664062,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,65.54.234.75,1951,80,6,34,1500,40,24123,709.5,690.4919069253541,0.36725902557373047,6.9141387939453125e-06,1.539674997329712,0.04665681810090036,0.0868812370029607,15,0.45454545454545453,15,1064,40,2058,137.2,269.36943652414124,48,19,1500,40,22065,1161.3157894736842,577.2242155470009,48
147.32.96.45,147.32.84.165,2073,21,6,3,60,60,180,60.0,0.0,5.999402046203613,2.9893269538879395,8.988729000091553,4.494364500045776,1.505037546157837,0,0.0,3,60,60,180,60.0,0.0,60,0,0,0,0,0,0.0,0
147.32.84.165,212.117.171.138,1899,65500,6,38,1500,40,16677,438.86842105263156,629.4960879880381,0.7205579280853271,0.0001900196075439453,2.0639288425445557,0.05578186060931232,0.1291203172947351,24,0.6486486486486487,19,1500,40,13339,702.0526315789474,706.9539159911203,48,19,1500,40,3338,175.68421052631578,392.70211727031375,48
147.32.84.165,94.100.176.20,2239,25,6,1,48,48,48,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,48,48,48,48,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,46.4.36.120,2128,443,6,6,48,40,264,44.0,4.0,0.4736521244049072,0.027328014373779297,1.008641004562378,0.2017282009124756,0.2135772809630363,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,212.117.171.138,1834,65500,6,54,1500,40,23416,433.6296296296296,610.8957083901413,0.6216640472412109,8.988380432128906e-05,3.3827788829803467,0.06382601666000653,0.11278509842840688,32,0.6037735849056604,27,1500,40,21400,792.5925925925926,690.8481775249717,48,27,519,40,2016,74.66666666666667,106.80407815767668,48
147.32.84.165,212.117.171.138,1696,65500,6,36,1500,40,18134,503.72222222222223,657.1155661555665,1.4328219890594482,0.00022292137145996094,2.5911948680877686,0.07403413908822196,0.2400800448741419,26,0.7428571428571429,18,1500,40,14734,818.5555555555555,707.2327310033587,48,18,1500,40,3400,188.88888888888889,406.4277835112611,48
147.32.84.165,46.4.36.120,2236,443,6,6,48,40,264,44.0,4.0,0.47352004051208496,0.027331113815307617,1.0088350772857666,0.2017670154571533,0.2137031009482373,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,112.110.18.151,1652,6667,6,2,48,48,96,48.0,0.0,2.9544219970703125,2.9544219970703125,2.9544219970703125,2.9544219970703125,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,64.4.56.103,1375,80,6,47,1488,40,32928,700.5957446808511,659.8360099160185,0.2639000415802002,3.0994415283203125e-06,1.5419130325317383,0.03351984853329866,0.06624406597872308,19,0.41304347826086957,20,1064,40,2065,103.25,226.15456550775178,48,27,1488,40,30863,1143.0740740740741,509.8082374358773,48
147.32.84.165,212.117.171.138,1585,65500,6,38,1500,40,13142,345.8421052631579,563.4467483508506,7.8798511028289795,0.00017690658569335938,10.13721489906311,0.27397878105575973,1.2711578711912273,22,0.5945945945945946,19,1500,40,10512,553.2631578947369,669.0736598662884,48,19,1453,40,2630,138.42105263157896,318.17908161574564,48
147.32.84.165,65.54.165.169,1323,443,6,23,1500,40,11039,479.95652173913044,587.9286024577318,0.17188811302185059,9.059906005859375e-06,1.1761620044708252,0.05346190929412842,0.07154825430499738,11,0.5,12,1500,40,4020,335.0,466.4141578754516,48,11,1500,40,7019,638.0909090909091,661.4347290749453,48
147.32.84.165,46.4.36.120,1972,443,6,6,48,40,264,44.0,4.0,0.7469449043273926,0.027261972427368164,1.418299913406372,0.2836599826812744,0.31779200870575314,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,46.4.36.120,2189,443,6,6,48,40,264,44.0,4.0,0.47324705123901367,0.027241945266723633,1.0081899166107178,0.20163798332214355,0.21355179384768258,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,88.156.111.111,2158,6667,6,2,48,48,96,48.0,0.0,2.9443750381469727,2.9443750381469727,2.9443750381469727,2.9443750381469727,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,212.117.171.138,1565,65500,6,17,801,40,2205,129.7058823529412,236.0345848800882,11.801306962966919,0.00024390220642089844,12.405991077423096,0.7753744423389435,2.8474254756131745,12,0.75,8,801,40,1101,137.625,250.75981411502124,48,9,750,40,1104,122.66666666666667,221.8903633178632,48
147.32.84.165,212.117.171.138,1963,65500,6,650,1500,40,571850,879.7692307692307,684.55950956084,1.7103359699249268,6.794929504394531e-05,11.330223798751831,0.017457971954933482,0.07390845106520276,464,0.7149460708782742,407,1500,40,561528,1379.6756756756756,281.3338062489974,48,243,608,40,10322,42.477366255144034,36.382435136739076,48
147.32.84.165,74.3.164.222,1283,443,6,81,1500,40,63370,782.3456790123457,727.1031506032218,5.81843113899231,0.0002720355987548828,71.37902784347534,0.8922378480434418,1.1927185136166114,72,0.9,39,294,40,1822,46.717948717948715,40.134356864417896,48,42,1500,48,61548,1465.4285714285713,221.36515220839345,48
147.32.84.165,212.117.171.138,1559,65500,6,51,1500,40,24845,487.15686274509807,641.2917531428119,19.497473001480103,1.5020370483398438e-05,21.314447164535522,0.42628894329071043,2.7254119276339974,28,0.56,26,1500,40,22353,859.7307692307693,667.6173223136547,48,25,1493,40,2492,99.68,284.45902622346154,48
147.32.84.165,212.117.171.138,1445,65500,6,21,1500,40,4585,218.33333333333334,433.9830294392511,1.7588820457458496,7.200241088867188e-05,3.2342300415039062,0.1617115020751953,0.3771638590047803,12,0.6,11,1500,40,2906,264.1818181818182,481.581828821686,48,10,1272,40,1679,167.9,368.16801870884984,48
147.32.84.165,94.63.150.52,1052,80,6,10,216,40,754,75.4,67.88254562109468,0.13486409187316895,1.4066696166992188e-05,0.4062080383300781,0.04513422648111979,0.0630936273798724,5,0.5555555555555556,5,206,40,374,74.8,65.67312996956974,48,5,216,40,380,76.0,70.01714075853141,44
147.32.84.165,205.188.186.137,1557,587,6,34,1064,40,3589,105.55882352941177,183.766186350141,29.861956119537354,0.0001838207244873047,32.716304063797,0.9914031534483938,5.103973243569935,29,0.8787878787878788,16,1064,40,1976,123.5,243.85087656188566,48,18,462,40,1613,89.61111111111111,101.93687528666884,48
147.32.84.165,46.4.36.120,2059,443,6,6,48,40,264,44.0,4.0,0.4736289978027344,0.027324914932250977,1.0089778900146484,0.2017955780029297,0.21370182674396557,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,109.200.239.148,1066,3128,6,3,48,48,144,48.0,0.0,6.008832216262817,2.9396109580993652,8.948443174362183,4.474221587181091,1.534610629081726,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,221.130.69.202,1882,6667,6,6,48,40,264,44.0,4.0,0.4683530330657959,0.38227105140686035,2.0340402126312256,0.40680804252624514,0.03256473441909931,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,212.117.171.138,1315,65500,6,30,1500,40,8622,287.4,484.94381805180967,1.6213669776916504,0.00017309188842773438,2.8434998989105225,0.09805172065208698,0.29261522317341976,19,0.6551724137931034,17,1500,40,5092,299.52941176470586,505.8047888554098,48,13,1488,40,3530,271.53846153846155,455.7402457514951,48
147.32.84.165,46.4.36.120,1622,443,6,6,48,40,264,44.0,4.0,0.47330808639526367,0.027299880981445312,1.0085768699645996,0.20171537399291992,0.21359621830820466,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,182.2.117.2,1317,6667,6,2,48,48,96,48.0,0.0,2.9636929035186768,2.9636929035186768,2.9636929035186768,2.9636929035186768,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,203.84.189.77,2081,6667,6,2,48,48,96,48.0,0.0,2.923659086227417,2.923659086227417,2.923659086227417,2.923659086227417,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,46.4.36.120,2180,443,6,6,48,40,264,44.0,4.0,0.4731440544128418,0.027348995208740234,1.0087029933929443,0.20174059867858887,0.2134441794865213,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,77.127.115.2,1287,6667,6,2,48,48,96,48.0,0.0,2.9744770526885986,2.9744770526885986,2.9744770526885986,2.9744770526885986,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,65.54.186.10,1850,443,6,29,1500,40,12724,438.7586206896552,584.9740728220008,0.4304189682006836,4.0531158447265625e-06,2.473489999771118,0.08833892856325422,0.12005420565662578,13,0.4642857142857143,15,1064,40,2410,160.66666666666666,266.67524986186646,48,14,1500,40,10314,736.7142857142857,678.9696425542191,48
